Thread Content,Lemmas
tgw dunleer seed plant 51g id aiming sow 330 seedsm2 good conditions earlymid october lower years gone however ive never cereal ive said wish less plants ive certainly crops ive said wish plants tgw 51g id sowing 68kgacre earlymid october late october good conditions id raise 355360 seedsm2 likely slug pressure high wet plants wosr missed discing sparkling slug slime,tgw dunleer seed plant 51g id aiming sow 330 seedsm2 good condition earlymid october lower year gone however ive never cereal ive said wish le plant ive certainly crop ive said wish plant tgw 51g id sowing 68kgacre earlymid october late october good condition id raise 355360 seedsm2 likely slug pressure high wet plant wosr missed discing sparkling slug slime
leave slug pelleting emerges sowing,leave slug pelleting emerges sowing
depend couple things cultivated wosr stubble lightly dry weather volunteers left reduce slug numbers start go dark light see much slug activity theres lot id tempted spread pellets week plough easiest time kill slug rat poison theyve nothing else eat none carried planting id spread rolled havent many cereal crops rolled recent years apply cereals beans also mightnt agree based experience hasnt worked years note youre night light looking slugs neighbours may youre weird ive crossed line years,depend couple thing cultivated wosr stubble lightly dry weather volunteer left reduce slug number start go dark light see much slug activity there lot id tempted spread pellet week plough easiest time kill slug rat poison theyve nothing else eat none carried planting id spread rolled havent many cereal crop rolled recent year apply cereal bean also mightnt agree based experience hasnt worked year note youre night light looking slug neighbour may youre weird ive crossed line year
fair share beans seemed well general performed extremely well dodgy fields surrounded trees,fair share bean seemed well general performed extremely well dodgy field surrounded tree
yeeeeee 2024,yeeeeee 2024
normaly late sowing mix sow early earliest reasonable date starting plant planting,normaly late sowing mix sow early earliest reasonable date starting plant planting
whereabouts influence earlier sowing,whereabouts influence earlier sowing
yes 7th october,yes 7th october
midlands waited october shur rained nearly october ended sowing november thinking late sept,midland waited october shur rained nearly october ended sowing november thinking late sept
sowing september septoria breeding program need good t0 t0s even consider fair average let alone good,sowing september septoria breeding program need good t0 t0s even consider fair average let alone good
gone says loading septoria pressure october said theres fair yield penalty pieces fields missing caught weather prepared go hard septoria t1 t2 watery cheapo mixes people plant following break order lessen impact take,gone say loading septoria pressure october said there fair yield penalty piece field missing caught weather prepared go hard septoria t1 t2 watery cheapo mix people plant following break order lessen impact take
current weather forecast im sorry didnt sow already t0 theres rust lot higher yielding wheats years drilled 13th20th sept,current weather forecast im sorry didnt sow already t0 there rust lot higher yielding wheat year drilled 13th20th sept
lad seed rang week ask us wanted seed reports scarce got already heads lads,lad seed rang week ask u wanted seed report scarce got already head lad
shortage seed seed tight though,shortage seed seed tight though
dunno man saying seed yrs dont pulling fast one little w sowed around autumn weather turned,dunno man saying seed yr dont pulling fast one little w sowed around autumn weather turned
hes like crowd selling fertiliser yr id say,he like crowd selling fertiliser yr id say
complete opposite actually know much knowledge dairy tillage sectors top notch never see wrong,complete opposite actually know much knowledge dairy tillage sector top notch never see wrong
sowed today like look lovely looking grain conditions nice sun came every tractor parish long hours weekend,sowed today like look lovely looking grain condition nice sun came every tractor parish long hour weekend
plough today dry tomorrow sow tuesday,plough today dry tomorrow sow tuesday
kind herbicide programme ye use pre post emerge first time,kind herbicide programme ye use pre post emerge first time
post emergence somthing like firebird generic version else defy generic dff usually use aphicide also thats choice people leave spring time around mid late march likes alister pacifica personally much rather autumn chance arises,post emergence somthing like firebird generic version else defy generic dff usually use aphicide also thats choice people leave spring time around mid late march like alister pacifica personally much rather autumn chance arises
volunteer beans tend id say christmas must,volunteer bean tend id say christmas must
depends many appear rain lot volunteers germinated glyphosate ploughing need su beans cheapest su kill temps somewhat reasonable,depends many appear rain lot volunteer germinated glyphosate ploughing need su bean cheapest su kill temp somewhat reasonable
strip tilling first time,strip tilling first time
neighbor getting bean ground ready graham cultivator hire,neighbor getting bean ground ready graham cultivator hire
handy able hire cultivator like especially one wanted try min till,handy able hire cultivator like especially one wanted try min till
type machine sowing stones werent issue id say type cultivator great way mintill could sow onepass,type machine sowing stone werent issue id say type cultivator great way mintill could sow onepass
couple possibilities new parish 6 sky direct drill amazon power harrow drill land ploughed 18 years,couple possibility new parish 6 sky direct drill amazon power harrow drill land ploughed 18 year
went alister great job hard spray,went alister great job hard spray
kind drill,kind drill
early start 26ha midnight,early start 26ha midnight
sumo dts,sumo dts
tardis around goldcrop plots today early start 900ish plots today trusty 3600 number one contractor e cork sowing around plots evening,tardis around goldcrop plot today early start 900ish plot today trusty 3600 number one contractor e cork sowing around plot evening
right gone plough one else say cant fully remember one right non less reason ground dose ready vaderstad time rain,right gone plough one else say cant fully remember one right non le reason ground dose ready vaderstad time rain
got sowed yesterday following osr wasnt brave enough grub decided plough,got sowed yesterday following osr wasnt brave enough grub decided plough
two drains blocked since harvest oh fun,two drain blocked since harvest oh fun
whats cause compaction,whats cause compaction
rod drains afternoon find one repaired years ago either new roots something else blocked mouth old bed rock bet tree roots unfortunately much doubt able fix one without getting digger much doubt compaction 2 cases blocked trees mouths hopefully main one easy fix might even alleviate backlog drain,rod drain afternoon find one repaired year ago either new root something else blocked mouth old bed rock bet tree root unfortunately much doubt able fix one without getting digger much doubt compaction 2 case blocked tree mouth hopefully main one easy fix might even alleviate backlog drain
getting good newer one still fully clear view attachment 20231012_142950mp4,getting good newer one still fully clear view attachment 20231012_142950mp4
spraying stomp dff,spraying stomp dff
kind seeding rate,kind seeding rate
id sowing 375 400 seedsm2,id sowing 375 400 seedsm2
ploughing beans far ideal,ploughing bean far ideal
170 kg ha,170 kg ha
late nights early mornings getting torp customer 360 seeds m2 tonight,late night early morning getting torp customer 360 seed m2 tonight
ground better today week,ground better today week
hoping 9ha done noon,hoping 9ha done noon
32 acres go morning course main ram broke drill night hopefully 930 quick work 5 acres ready sow need 1 rain us hit little earlier,32 acre go morning course main ram broke drill night hopefully 930 quick work 5 acre ready sow need 1 rain u hit little earlier
3rd go back plough headlands,3rd go back plough headland
ploughing nice holding still 18mm due start shortly 36mm tomorrow small amounts rain till monday lets according yrno,ploughing nice holding still 18mm due start shortly 36mm tomorrow small amount rain till monday let according yrno
finished ploughing heavier destined committed turning chicken litter needs dry day sowing never mind soaking drill leaves weather forecasting pain end week week drythen changed rain thursday spread dung weekend plough monday dry tuesday sow wednesday plan,finished ploughing heavier destined committed turning chicken litter need dry day sowing never mind soaking drill leaf weather forecasting pain end week week drythen changed rain thursday spread dung weekend plough monday dry tuesday sow wednesday plan
threatening hour looks like youll away presuming ye got drill sorted time got 27 acres graham morning 170kgha bean stubble sprayed thursday dirty done,threatening hour look like youll away presuming ye got drill sorted time got 27 acre graham morning 170kgha bean stubble sprayed thursday dirty done
got 33 acres champion didnt sowing 11 got gate 220 started spilling rain another run around dont pulled drill around headland tacky enough hedgecutter man came ok upped seed rate 220kg compensate losses,got 33 acre champion didnt sowing 11 got gate 220 started spilling rain another run around dont pulled drill around headland tacky enough hedgecutter man came ok upped seed rate 220kg compensate loss
ya use furrow press yokes two ploughs,ya use furrow press yoke two plough
dont really understand question understanding correctly packomat connected plough big job plumb plough take massive job take plough plough still pipes extra reinforcement headstock,dont really understand question understanding correctly packomat connected plough big job plumb plough take massive job take plough plough still pipe extra reinforcement headstock
sorry mean tandem ploughing,sorry mean tandem ploughing
yeah extra issues running 2 packomat ploughs 2 ordinary ploughs wide headlands corners slightly crowded 2 ordinary ploughs,yeah extra issue running 2 packomat plough 2 ordinary plough wide headland corner slightly crowded 2 ordinary plough
gone said yeah extra issues running 2 packomat ploughs 2 ordinary ploughs wide headlands corners slightly crowded 2 ordinary ploughs click expand meaning packer gets dropped end run collected entry next run running stays connected plough swings plough,gone said yeah extra issue running 2 packomat plough 2 ordinary plough wide headland corner slightly crowded 2 ordinary plough click expand meaning packer get dropped end run collected entry next run running stay connected plough swing plough
yeah packer stays plough even turning headlands,yeah packer stay plough even turning headland
opposed older style trailed plough press gets dropped hooked every headland used crops tandem ploughing possible scenario,opposed older style trailed plough press get dropped hooked every headland used crop tandem ploughing possible scenario
fields local worse tomorrow,field local worse tomorrow
14hours difference planting green distance emerged foreground photo doesnt really justice,14hours difference planting green distance emerged foreground photo doesnt really justice
believe nice sowing happening around evening two places dry regardless weather week pans grand one place good heavier,believe nice sowing happening around evening two place dry regardless weather week pan grand one place good heavier
got video oats kilkenny today north wexford yesterday wouldnt good see,got video oat kilkenny today north wexford yesterday wouldnt good see
fortnight yesterday since sowed glad see appear,fortnight yesterday since sowed glad see appear
got start made today dry tho,got start made today dry tho
evening peoples opinions experience much hardship take sowed nice conditions x rape springs high volumes unwanted rain ya hardly walk sowed 2 weeks soon know sowed write,evening people opinion experience much hardship take sowed nice condition x rape spring high volume unwanted rain ya hardly walk sowed 2 week soon know sowed write
right conditions old varieties survive ten days water ploughing beet show pony five tonne varieties die damp shed,right condition old variety survive ten day water ploughing beet show pony five tonne variety die damp shed
speaking experience water logging consider least 3 times toughness wet conditions doesnt matter 2 row 6 row newest much advertised hybrid man child compared terms survival seeds germinated seedbed gets really wet much greater chance surviving hadnt germinated deeper sowing made big difference shallower seeds quicker likely survive keep eye crows ive seen wet patches due springs emerge terribly slowly compared rest slow thought gone took eye crows attacked patches eventually emerged cant believe ive seen survive im exaggerating,speaking experience water logging consider least 3 time toughness wet condition doesnt matter 2 row 6 row newest much advertised hybrid man child compared term survival seed germinated seedbed get really wet much greater chance surviving hadnt germinated deeper sowing made big difference shallower seed quicker likely survive keep eye crow ive seen wet patch due spring emerge terribly slowly compared rest slow thought gone took eye crow attacked patch eventually emerged cant believe ive seen survive im exaggerating
know thread oats similar situation,know thread oat similar situation
probably patch gets waterlogged bare patch working patch poor poor normal wet patch oats youll bare patch normal plants also thin oats set extra grains per ear tiller cant compensate degree spring oats got fair beating wet march dont ive ever high yielding spring oats close 4tnac virgin oat ground,probably patch get waterlogged bare patch working patch poor poor normal wet patch oat youll bare patch normal plant also thin oat set extra grain per ear tiller cant compensate degree spring oat got fair beating wet march dont ive ever high yielding spring oat close 4tnac virgin oat ground
dried stick second shortage spring seed enough area destined beans,dried stick second shortage spring seed enough area destined bean
late spring,late spring
possibly lot iffs,possibly lot iffs
difference 234 french milling french maize 25 current march 32 try take chance avoid spring feed,difference 234 french milling french maize 25 current march 32 try take chance avoid spring feed
nicely might days sow rest,nicely might day sow rest
noninversion tillage looks well considering,noninversion tillage look well considering
spread slug pellets noninversion tilled evening,spread slug pellet noninversion tilled evening
fare slatted boards v conventional im seriously thinking changing slatted board brittle soil youd tear hair years soil sticking nice work fair,fare slatted board v conventional im seriously thinking changing slatted board brittle soil youd tear hair year soil sticking nice work fair
went slats friend buying 2 ploughs 5f wanted slats dont plough nice sod no28s never stick getting issues sticking no8s slats answer buying tomorrow probably go back no28s probably regret week later slats seem dearer run boards havent long enough sure much,went slat friend buying 2 plough 5f wanted slat dont plough nice sod no28s never stick getting issue sticking no8s slat answer buying tomorrow probably go back no28s probably regret week later slat seem dearer run board havent long enough sure much
way slats nice gone coming 8s older one piece slat completely convinced either broken finish possibly inverted level,way slat nice gone coming 8 older one piece slat completely convinced either broken finish possibly inverted level
dont feel works well no28s bigger widths doesnt invert sod well no28s no30 slats least match no8s 16 no28s class good ground,dont feel work well no28s bigger width doesnt invert sod well no28s no30 slat least match no8s 16 no28s class good ground
planted small trial morning land fit patch rise beans wouldnt able go land wet around lot springs flowing headlands involved either trampling wont need done next day,planted small trial morning land fit patch rise bean wouldnt able go land wet around lot spring flowing headland involved either trampling wont need done next day
made burst yesterday afternoon today ley,made burst yesterday afternoon today ley
grasstocorn,grasstocorn
favourite hashtag,favourite hashtag
graham today happy enough condition things considered,graham today happy enough condition thing considered
mixedfarming rotation rotation rotation,mixedfarming rotation rotation rotation
crops said grasstocorn click expand,crop said grasstocorn click expand
youd know youre looking forward nice trip overseas next week envious,youd know youre looking forward nice trip overseas next week envious
could oats rest look forward zeal bloody well rained afternoon looking spell dry weather tomorrow hopefully,could oat rest look forward zeal bloody well rained afternoon looking spell dry weather tomorrow hopefully
half tipsy day carbon,half tipsy day carbon
losses bad still half hopeful getting next week comes good also looking like spring,loss bad still half hopeful getting next week come good also looking like spring
laid slates meusli test slug presence 2 days ago disced bean stubble sprayed 45 days previous worried theyd issue trash 5 slates one 3 slugs others varied 02 expecting see lot im happy isnt looking pretty gone however,laid slate meusli test slug presence 2 day ago disced bean stubble sprayed 45 day previous worried theyd issue trash 5 slate one 3 slug others varied 02 expecting see lot im happy isnt looking pretty gone however
rough autumn sort min till stuff,rough autumn sort min till stuff
member group put traps see sort population,member group put trap see sort population
shown pic day frightening stuff,shown pic day frightening stuff
yes ground looks great never really happy moving fast ground hopefully pushes,yes ground look great never really happy moving fast ground hopefully push
thats fearing,thats fearing
bulk spreader want quad spreader,bulk spreader want quad spreader
anything ploughed sowed dreamy looking anything gave run tine machine looking well one disced sowed looking poor reason disced stones,anything ploughed sowed dreamy looking anything gave run tine machine looking well one disced sowed looking poor reason disced stone
tine machine seemingly quite good poor conditions,tine machine seemingly quite good poor condition
quiet western front two drier fields finished yesterday graham wettter fields tight window rain drier fields left even left spring could early lorry driver delivered seed spread dung boy soldier driving dual power massey 178 hero kelly also drew silage zetor des leybourne silage made hole ground one neighbors snitched us also drove zetor back tullow unlicensed 14 old nearly much illegal activity 1970s bencroy area,quiet western front two drier field finished yesterday graham wettter field tight window rain drier field left even left spring could early lorry driver delivered seed spread dung boy soldier driving dual power massey 178 hero kelly also drew silage zetor de leybourne silage made hole ground one neighbor snitched u also drove zetor back tullow unlicensed 14 old nearly much illegal activity 1970s bencroy area
bog man dont anything illegal dont draw attention grand nobody notices yan photo took locks time higher todayour women connacht title yesterday ground mustnt bad loader straw scare next little crops providing grows wet,bog man dont anything illegal dont draw attention grand nobody notice yan photo took lock time higher todayour woman connacht title yesterday ground mustnt bad loader straw scare next little crop providing grows wet
climate change banana belt spreading faster sahara desert soon praying rain loader sitting twenty foot rabbit sand,climate change banana belt spreading faster sahara desert soon praying rain loader sitting twenty foot rabbit sand
ya may camels head gear match,ya may camel head gear match
tine grubber bought 2014 3m amazon cenius handy money back early october still sowing pronto behind go deeper disc bring drier clay also gives better drainage,tine grubber bought 2014 3m amazon cenius handy money back early october still sowing pronto behind go deeper disc bring drier clay also give better drainage
took wrong taught tine drill meant,took wrong taught tine drill meant
many bogs desert hell change name,many bog desert hell change name
dont want alarming fellas im thinking bout bitta,dont want alarming fella im thinking bout bitta
beans wanted min till weather didnt allow 188kgha,bean wanted min till weather didnt allow 188kgha
beet pulled 1st week december normally mid january cleared goes sb waste break early new could chance ww cut date,beet pulled 1st week december normally mid january cleared go sb waste break early new could chance ww cut date
id sow time 15th february edit yield potential fall week passes february grown spring level input,id sow time 15th february edit yield potential fall week pass february grown spring level input
barrowsider said never happy harvested could tagged wrong person,barrowsider said never happy harvested could tagged wrong person
heard somewhere spring varieties even worth look less sb better ive much cereals id planned providing grow extra overly important,heard somewhere spring variety even worth look le sb better ive much cereal id planned providing grow extra overly important
everyone gives spring makes curious time grew yield 23 tonne acre day may started thing growing prior rushes id love try spring kinder ground,everyone give spring make curious time grew yield 23 tonne acre day may started thing growing prior rush id love try spring kinder ground
thats convincing argument spring swapped numbers around perhaps early sowing essential,thats convincing argument spring swapped number around perhaps early sowing essential
wise words kjl inclined agree try worked ok drilled first week february full dry month afterwards got away without much hardship needs early usually yields less autumn,wise word kjl inclined agree try worked ok drilled first week february full dry month afterwards got away without much hardship need early usually yield le autumn
yields lads hoping sw nowadays 10 years since memory straw gorgeous colour might much hassle spraying small amount,yield lad hoping sw nowadays 10 year since memory straw gorgeous colour might much hassle spraying small amount
id say 35tn youre fine 2023 best ever remember numerous crops 4tn yield id normally expect straw look nice doesnt septoria roasting gets,id say 35tn youre fine 2023 best ever remember numerous crop 4tn yield id normally expect straw look nice doesnt septoria roasting get
im sure spring thread somewhere assume dry spell february wouldnt want banking coming,im sure spring thread somewhere assume dry spell february wouldnt want banking coming
mine 35 127 units n seed beans ill trying,mine 35 127 unit n seed bean ill trying
weve sw 3 years seed beet works well leave beet ground till spring 2021 best cleared 4t variety called duncan 35t mark escape 2022 fixum 2023 golden spring straw easy sell lad using diet feeder,weve sw 3 year seed beet work well leave beet ground till spring 2021 best cleared 4t variety called duncan 35t mark escape 2022 fixum 2023 golden spring straw easy sell lad using diet feeder
supper time slugs,supper time slug
left tramlines quad,left tramline quad
making start ploughing turning well areas tougher damper due clay content ploughing tougher areas first itll couple days planting pellets applied yesterday shortage dead slugs surface morning,making start ploughing turning well area tougher damper due clay content ploughing tougher area first itll couple day planting pellet applied yesterday shortage dead slug surface morning
worn tips stuck onto landslides patented idea,worn tip stuck onto landslide patented idea
people envious term tougher areas,people envious term tougher area
using press,using press
soil damp enough parts id prefer leave open drying next day two contractor invested 710 tyres planter tractor hes almost pressing full 3m,soil damp enough part id prefer leave open drying next day two contractor invested 710 tyre planter tractor he almost pressing full 3m
ha theyre wear plates mike roche bolt seem good job,ha theyre wear plate mike roche bolt seem good job
threw kg pellets yesterday back suggestion glad see results today happy enough press,threw kg pellet yesterday back suggestion glad see result today happy enough press
cant claim rights idea prebaiting blackwater boy initially suggested years ago good situations know lot slugs present really small ones dead stone picture,cant claim right idea prebaiting blackwater boy initially suggested year ago good situation know lot slug present really small one dead stone picture
us poor sheep farmers cant afford luxuries find worn tips great job prolonging life landslides,u poor sheep farmer cant afford luxury find worn tip great job prolonging life landslide
try old forager knifes work treat ages,try old forager knife work treat age
18 days peeping crows gone rioting 2 days,18 day peeping crow gone rioting 2 day
view attachment img_2864mov evening following caprice spring beans land dried really well two past days since turned air,view attachment img_2864mov evening following caprice spring bean land dried really well two past day since turned air
black rims must serious operator,black rim must serious operator
pimp wheels serious operator number one contractor east cork,pimp wheel serious operator number one contractor east cork
theres counting taste,there counting taste
cant parading around jdlemken colours come ideas,cant parading around jdlemken colour come idea
wednesday forecast looks dry crows rampant slugs loader allowed pallets forks,wednesday forecast look dry crow rampant slug loader allowed pallet fork
straight confession box,straight confession box
suppose wellies,suppose wellies
dry tops wellies turned,dry top wellies turned
365 birkenstocks around,365 birkenstocks around
shirt tie ploughing week bog man style case anyone called inspect work also protrays image tillage man well upsets cow man might eye land furniture paint front door,shirt tie ploughing week bog man style case anyone called inspect work also protrays image tillage man well upset cow man might eye land furniture paint front door
christ id leave desperate tracks id 2 tonne fert front mind kill steering,christ id leave desperate track id 2 tonne fert front mind kill steering
put tower aphicide graham today conditions great dry week still despite 290mm rain since,put tower aphicide graham today condition great dry week still despite 290mm rain since
spats shortening spatterdashes spatter guards type footwear accessory outdoor wear covering instep ankle spats distinct gaiters garments worn lower trouser leg well shoe,spat shortening spatterdashes spatter guard type footwear accessory outdoor wear covering instep ankle spat distinct gaiter garment worn lower trouser leg well shoe
looking take advantage rare dry spell sow graham sort seed rate people using time crows usually problem round,looking take advantage rare dry spell sow graham sort seed rate people using time crow usually problem round
id aim 475500 seedsm2,id aim 475500 seedsm2
hoping sow next couple days good lower seed rate aiming sow 215kgha 420440 seedsm² dont exact 1000 grain weight,hoping sow next couple day good lower seed rate aiming sow 215kgha 420440 seedsm² dont exact 1000 grain weight
getting ready plots 2000 go 10mm rain sunday night night unwelcome plenty moisture soil dry turned,getting ready plot 2000 go 10mm rain sunday night night unwelcome plenty moisture soil dry turned
first time serious look first take right tablets use good glasses might actually semi respectable fields,first time serious look first take right tablet use good glass might actually semi respectable field
beautiful calm crisp sunny day got septoria plots following wosr approx 2000 plots sequential order 56 acres ill put thread whole area keep crows away,beautiful calm crisp sunny day got septoria plot following wosr approx 2000 plot sequential order 56 acre ill put thread whole area keep crow away
6 acres thread jaysus far apart put threadpoles hold,6 acre thread jaysus far apart put threadpoles hold
jaysus right fair chore worth probably span 3040ft,jaysus right fair chore worth probably span 3040ft
pics youve done worked trials little put thread bamboo canes hated,pic youve done worked trial little put thread bamboo cane hated
im afraid ill take ive done,im afraid ill take ive done
could see ye today 45 miles away could make blue white little ford away nothing around,could see ye today 45 mile away could make blue white little ford away nothing around
god better eyesight little ford bought new abernethys 1976 charlie hyde hill farm ballycotton hasnt reached 6000 hrs yet,god better eyesight little ford bought new abernethys 1976 charlie hyde hill farm ballycotton hasnt reached 6000 hr yet
say could see ye mean knew look rough idea ford old tractors keep minded weve 1982 john deere 2040s runs like clock starts first tip everytime,say could see ye mean knew look rough idea ford old tractor keep minded weve 1982 john deere 2040s run like clock start first tip everytime
finished yesterday black crows morning,finished yesterday black crow morning
4 days hanging around ten crows wont see christmas,4 day hanging around ten crow wont see christmas
thats 5 acres threaded ill sit stiff plastic poles try avoid using bamboo canes spans 28m x 12m keep crows ill put runs thread manage go 2m path left every 12m case needs slug pelleted pelleted week ploughing 34000m thread used,thats 5 acre threaded ill sit stiff plastic pole try avoid using bamboo cane span 28m x 12m keep crow ill put run thread manage go 2m path left every 12m case need slug pelleted pelleted week ploughing 34000m thread used
fair play im surprised big spans time certainly overkill looks manageable,fair play im surprised big span time certainly overkill look manageable
yes killer spans short bamboo canes bend hard keep thread tight mention splinters thread strong rare see snap,yes killer span short bamboo cane bend hard keep thread tight mention splinter thread strong rare see snap
frost ploughing tis morn hard break lumps hope der isnt much rain next wk top whats sat marginal conditions especially headlands,frost ploughing ti morn hard break lump hope der isnt much rain next wk top whats sat marginal condition especially headland
must crops wasnt people like wed never new varieties feck grow thats extra mile interest growing trial plot new varieties earth put fertilizer protection products take individual plot gets fert spray one complete individual plots,must crop wasnt people like wed never new variety feck grow thats extra mile interest growing trial plot new variety earth put fertilizer protection product take individual plot get fert spray one complete individual plot
ye brave enough,ye brave enough
ha fair question variety testing varieties testing given trial chemical fertiliser inputs time general variety planted 4 times 4 replications often give fungicide one replication variety compare genetic disease resistance trial using thread purely trial test septoria resistance plots small disease observations wont compared yield case plots receive normal level inputs except fungicides receive none hope makes sense,ha fair question variety testing variety testing given trial chemical fertiliser input time general variety planted 4 time 4 replication often give fungicide one replication variety compare genetic disease resistance trial using thread purely trial test septoria resistance plot small disease observation wont compared yield case plot receive normal level input except fungicide receive none hope make sense
big vern spraying variety plots today see tramlines run 90 degrees plots exact treatment,big vern spraying variety plot today see tramline run 90 degree plot exact treatment
crops thanks info agronomist comes says yeah yeah weve got new variety could try next itll makes realise much work people like pearce sees put network trial farmers ensure new varieties disease resistance yeald improves top work fella edit clearly better weather minus 4 atm floods levels like skating rinks,crop thanks info agronomist come say yeah yeah weve got new variety could try next itll make realise much work people like pearce see put network trial farmer ensure new variety disease resistance yeald improves top work fella edit clearly better weather minus 4 atm flood level like skating rink
yes know pearce seeds seem like progressive outfit,yes know pearce seed seem like progressive outfit
december madness,december madness
graham 215kgha,graham 215kgha
finishing company ploughing,finishing company ploughing
2023 done may likes bastard seen,2023 done may like bastard seen
see crow dont shoot,see crow dont shoot
getting 2l tower preemerge,getting 2l tower preemerge
great done land gets wet tramlines firm,great done land get wet tramline firm
noninversion tillage getting 2l tower 2kg combitop,noninversion tillage getting 2l tower 2kg combitop
graham 5 weeks happy see rows plants crows taken seeds emerging plants im happy enough 375 seedssq metre,graham 5 week happy see row plant crow taken seed emerging plant im happy enough 375 seedssq metre
3 weeks 3 days later champion emerged crows making scratch nothing major concern,3 week 3 day later champion emerged crow making scratch nothing major concern
champion variety champion grower,champion variety champion grower
tower working probably still need tidy spring,tower working probably still need tidy spring
min till tine drill 111123 different drill opened heavens hadnt drilled yet muck fit tine drill wet spots,min till tine drill 111123 different drill opened heaven hadnt drilled yet muck fit tine drill wet spot
thats really nice use better conditions october ends like,thats really nice use better condition october end like
impressive heard good things someone work tined kv drill autumn country,impressive heard good thing someone work tined kv drill autumn country
could doesnt leave nice finish sowing ground appear unlevel behind wheels tractor could sorted modifications also seed placement quite deep sweating comes actually planned use main drill got cold feet used drill familiar choice use tine drill,could doesnt leave nice finish sowing ground appear unlevel behind wheel tractor could sorted modification also seed placement quite deep sweating come actually planned use main drill got cold foot used drill familiar choice use tine drill
seen action impressive one im thinking fendt front,seen action impressive one im thinking fendt front
mounted type tine drill use cultivation done drill impressive looking work theres lot talk lately tine drills seems like good way go id sceptical area theyd work amount stones variable conditions difficult area break plough based system something looking,mounted type tine drill use cultivation done drill impressive looking work there lot talk lately tine drill seems like good way go id sceptical area theyd work amount stone variable condition difficult area break plough based system something looking
yes 48m mounted particular 1 run horsch terrano legged cultivator sowing type drills bring certain quantity stones terms variability soils conditions cope better anything else,yes 48m mounted particular 1 run horsch terrano legged cultivator sowing type drill bring certain quantity stone term variability soil condition cope better anything else
thought sold,thought sold
well hadnt sorted eradicators couple adjustmentsmodifications sort issues,well hadnt sorted eradicator couple adjustmentsmodifications sort issue
dd back oakley,dd back oakley
brief spell,brief spell
plots 4 weeks emerging nicely crow duty morning commercial emerging well also makes easier find plants executed keeps away couple days,plot 4 week emerging nicely crow duty morning commercial emerging well also make easier find plant executed keep away couple day
jeepersi thought john mccririck dead,jeepersi thought john mccririck dead
thats new name initially thought knew crow jackdaw name google certainly better morning crows camouflage works well theres nothing satisfying hitting crow long way seeing spin like helicopter ground thud,thats new name initially thought knew crow jackdaw name google certainly better morning crow camouflage work well there nothing satisfying hitting crow long way seeing spin like helicopter ground thud
id first name terms crows,id first name term crow
24th november making welcome appearance morning,24th november making welcome appearance morning
11th november champion first 2 pics 2nd two 7th november iswas twice vigour,11th november champion first 2 pic 2nd two 7th november iswas twice vigour
based experience champion saving vigour stem extension phase,based experience champion saving vigour stem extension phase
variety similarly bad straw trials yielded extremely well official trials 2022 lodged official trials 2023 decided stop saw first plot lodged hadnt harvested yet point anyone else im testing varieties 20 years hate mine people varieties havent properly tested known serious weaknesses,variety similarly bad straw trial yielded extremely well official trial 2022 lodged official trial 2023 decided stop saw first plot lodged hadnt harvested yet point anyone else im testing variety 20 year hate mine people variety havent properly tested known serious weakness
looking 3 crops stood ok none really thick really high pressure,looking 3 crop stood ok none really thick really high pressure
